Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
AAR2	AAR2 splicing factor homolog	20q11.23		25980	ENSG00000131043	NM_015511	Q9Y312	uc002xfc.4
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	20q11.21	KC505631	103021294	ENSG00000281376	NR_131907		
ABHD12	abhydrolase domain containing 12	20p11.21	AL117442	26090	ENSG00000100997	NM_015600	Q8N2K0	uc002wus.3
ABHD16B	abhydrolase domain containing 16B	20q13.33		140701	ENSG00000183260		Q9H3Z7	uc002ygx.3
ACOT8	acyl-CoA thioesterase 8	20q13.12	AF014404	10005	ENSG00000101473	NM_183386	O14734	uc002xqa.3
ACSS1	acyl-CoA synthetase short chain family member 1	20p11.21		84532	ENSG00000154930	NM_032501	Q9NUB1	uc061vwl.1
ACSS2	acyl-CoA synthetase short chain family member 2	20q11.22	AF263614	55902	ENSG00000131069	NM_018677	Q9NR19	uc002xbd.3
ACTG1P3	actin gamma 1 pseudogene 3	20p13	AF196978	75	ENSG00000215388	NG_000842		
ACTL10	actin like 10	20q11.22	AL121906	170487	ENSG00000182584		Q5JWF8	uc002wzt.3
ACTR5	ARP5 actin related protein 5 homolog	20q11.23	AK022847	79913	ENSG00000101442	NM_024855	Q9H9F9	uc002xjd.3
ADA	adenosine deaminase	20q13.12	X02994	100	ENSG00000196839	NM_000022	P00813	uc002xmj.4
ADAM33	ADAM metallopeptidase domain 33	20p13	AL117415, AB055891	80332	ENSG00000149451	NM_025220	Q9BZ11	uc002wit.5
ADI1P1	acireductone dioxygenase 1 pseudogene 1	20q12		100130936	ENSG00000235102			
ADIG	adipogenin	20q11.23	BC029594	149685	ENSG00000182035	NM_001018082	Q0VDE8	uc002xjb.1
ADNP	activity dependent neuroprotector homeobox	20q13.13	AF250860	23394	ENSG00000101126	NM_181442	Q9H2P0	uc002xvt.3
ADNP-AS1	ADNP antisense RNA 1	20q13.13		101927631	ENSG00000259456	NR_110009		
ADRA1D	adrenoceptor alpha 1D	20p13	U03864	146	ENSG00000171873	NM_000678	P25100	uc002wkr.3
ADRM1	adhesion regulating molecule 1	20q13.33	D64154	11047	ENSG00000130706		Q16186	uc002ycn.5
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10	20q11.1		100288774	ENSG00000282968			
AHCY	adenosylhomocysteinase	20q11.22	M61832	191	ENSG00000101444	NM_000687	P23526	uc002xai.4
AIMP1P1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1	20p12.1	AL136992	170547	ENSG00000234187			
ALS7	amyotrophic lateral sclerosis 7	20p13		406238				
ANGPT4	angiopoietin 4	20p13	AF074332	51378	ENSG00000101280	NM_015985	Q9Y264	uc002wei.4
ANKEF1	ankyrin repeat and EF-hand domain containing 1	20p12.2	AK025322	63926	ENSG00000132623	NM_022096	Q9NU02	uc002wnp.4
ANKRD20A21P	ankyrin repeat domain 20 family member A21, pseudogene	20q11.21		102723552	ENSG00000277112			
ANKRD60	ankyrin repeat domain 60	20q13.32	AL354776	140731	ENSG00000124227	NM_001304369	Q9BZ19	uc061xzo.1
AP5S1	adaptor related protein complex 5 sigma 1 subunit	20p13	AK002030	55317	ENSG00000125843	NM_018347	Q9NUS5	uc002wju.3
APCDD1L	APC down-regulated 1 like	20q13.32	AK074647	164284	ENSG00000198768	NM_153360	Q8NCL9	uc002xze.2
APCDD1L-AS1	APCDD1L antisense RNA 1 (head to head)	20q13.32	AI077602, AK054637	149773	ENSG00000231290	NR_034147		uc002xzg.3
APMAP	adipocyte plasma membrane associated protein	20p11.21	AB033767	57136	ENSG00000101474	NM_020531	Q9HDC9	uc002wty.4
ARF4P2	ADP ribosylation factor 4 pseudogene 2	20q13.33	AL035669	170485	ENSG00000236527	NG_001031		
ARFGAP1	ADP ribosylation factor GTPase activating protein 1	20q13.33	AK001629	55738	ENSG00000101199	NM_018209	Q8N6T3	uc002yel.5
ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	20q13.13	AF084521	10564	ENSG00000124198	NM_006420	Q9Y6D5	uc002xtx.5
ARFRP1	ADP ribosylation factor related protein 1	20q13.33	X91504	10139	ENSG00000101246		Q13795	uc032ppj.2
ARHGAP40	Rho GTPase activating protein 40	20q11.23	AL035419	343578	ENSG00000124143	NM_001164431	Q5TG30	uc061wyy.1
ARPC3P1	actin related protein 2/3 complex subunit 3 pseudogene 1	20q13.13	AL133174	87171	ENSG00000226284	NG_002363		
ASIP	agouti signaling protein	20q11.22		434	ENSG00000101440		P42127	uc061wig.1
ASXL1	additional sex combs like 1, transcriptional regulator	20q11.21	AJ438952	171023	ENSG00000171456	NM_015338	Q8IXJ9	uc061wej.1
ATG3P1	autophagy related 3 pseudogene 1	20q12	AY392024	100135756	ENSG00000224357			
ATP5F1E	ATP synthase F1 subunit epsilon	20q13.32	AF077045	514	ENSG00000124172	NM_001001977	P56381	uc002yal.4
ATP9A	ATPase phospholipid transporting 9A (putative)	20q13.2	AB014511	10079	ENSG00000054793	NM_006045	O75110	uc002xwg.2
ATRN	attractin	20p13	AF034957	8455	ENSG00000088812	NM_139321	O75882	uc002wim.3
AURKA	aurora kinase A	20q13.2	BC001280	6790	ENSG00000087586	NM_003600	O14965	uc002xxg.2
AVP	arginine vasopressin	20p13	M25647	551	ENSG00000101200	NM_000490	P01185	uc002whu.3
B4GALT5	beta-1,4-galactosyltransferase 5	20q13.13	AB004550	9334	ENSG00000158470	NM_004776	O43286	uc002xuu.5
BAK1P1	BCL2 antagonist/killer 1 pseudogene 1	20q11.21	U16812	600	ENSG00000175730	NG_000850		
BANF2	barrier to autointegration factor 2	20p12.1	BC054871	140836	ENSG00000125888	NM_178477	Q9H503	uc002wqa.3
BCAS1	breast carcinoma amplified sequence 1	20q13.2	AF041260	8537	ENSG00000064787	NM_003657	O75363	uc002xws.3
